ndim,name,size,fidelity,number,time_per,norm_time_per
2,Currin,1,high,100000,2.96875e-06,1
2,Currin,10,high,100000,1.59375e-05,5.36842105263158
2,Currin,100,high,10000,0.0001515625,51.0526315789474
2,Currin,1000,high,1000,0.00171875,578.947368421053
2,Currin,10000,high,100,0.01671875,5631.57894736842
2,Currin,100000,high,10,0.1875,63157.8947368421
2,Currin,1000000,high,1,1.8125,610526.315789474
2,Currin,1,low,100000,3.59375e-06,1
2,Currin,10,low,10000,3.59375e-05,10
2,Currin,100,low,1000,0.000359375,100
2,Currin,1000,low,100,0.00375,1043.47826086957
2,Currin,10000,low,10,0.0328125,9130.4347826087
2,Currin,100000,low,1,0.3125,86956.5217391304
2,Currin,1000000,low,1,3.21875,895652.173913043
4,Park91A,1,high,1000000,1.484375e-06,1
4,Park91A,10,high,10000,2.1875e-05,14.7368421052632
4,Park91A,100,high,10000,0.0001703125,114.736842105263
4,Park91A,1000,high,1000,0.00175,1178.94736842105
4,Park91A,10000,high,100,0.0165625,11157.8947368421
4,Park91A,100000,high,10,0.1828125,123157.894736842
4,Park91A,1000000,high,1,1.71875,1157894.73684211
4,Park91A,1,low,100000,2.03125e-06,1
4,Park91A,10,low,10000,2.03125e-05,10
4,Park91A,100,low,1000,0.000203125,100
4,Park91A,1000,low,1000,0.00178125,876.923076923077
4,Park91A,10000,low,100,0.01828125,9000
4,Park91A,100000,low,10,0.1640625,80769.2307692308
4,Park91A,1000000,low,1,1.71875,846153.846153846
4,Park91B,1,high,1000000,1.4375e-06,1
4,Park91B,10,high,100000,1.421875e-05,9.89130434782609
4,Park91B,100,high,10000,0.0001453125,101.086956521739
4,Park91B,1000,high,1000,0.001453125,1010.86956521739
4,Park91B,10000,high,100,0.0153125,10652.1739130435
4,Park91B,100000,high,10,0.1421875,98913.0434782609
4,Park91B,1000000,high,1,1.53125,1065217.39130435
4,Park91B,1,low,1000000,1.453125e-06,1
4,Park91B,10,low,100000,1.5e-05,10.3225806451613
4,Park91B,100,low,10000,0.0001578125,108.602150537634
4,Park91B,1000,low,1000,0.001453125,1000
4,Park91B,10000,low,100,0.0146875,10107.5268817204
4,Park91B,100000,low,10,0.15,103225.806451613
4,Park91B,1000000,low,1,1.53125,1053763.44086022
8,Borehole,1,high,1000000,1.53125e-06,1
8,Borehole,10,high,100000,1.4375e-05,9.38775510204082
8,Borehole,100,high,10000,0.0001421875,92.8571428571429
8,Borehole,1000,high,1000,0.001421875,928.571428571429
8,Borehole,10000,high,100,0.01484375,9693.87755102041
8,Borehole,100000,high,10,0.146875,95918.3673469388
8,Borehole,1000000,high,1,1.453125,948979.591836735
8,Borehole,1,low,1000000,1.390625e-06,1
8,Borehole,10,low,100000,1.34375e-05,9.66292134831461
8,Borehole,100,low,10000,0.0001421875,102.247191011236
8,Borehole,1000,low,1000,0.001453125,1044.94382022472
8,Borehole,10000,low,100,0.0140625,10112.3595505618
8,Borehole,100000,low,10,0.1390625,100000
8,Borehole,1000000,low,1,1.453125,1044943.82022472
